,type,genotype,N,mean,sd,se,gene,log2Mean,lineGroup
57,Bother,wt,4,378.8246222,165.404264,82.70213202,Solyc01g005550,8.565386293,wt.Solyc01g005550
58,Cmbr,tf2,4,267.6166876,121.0173778,60.50868889,Solyc01g005550,8.06402427,tf2.Solyc01g005550
59,Cmbr,wt,6,399.2318319,216.0383557,88.19728939,Solyc01g005550,8.641082945,wt.Solyc01g005550
60,Cother,tf2,4,485.0599828,233.9061922,116.9530961,Solyc01g005550,8.922019353,tf2.Solyc01g005550
61,Cother,wt,3,406.5726034,84.84630338,48.98603609,Solyc01g005550,8.667369193,wt.Solyc01g005550
62,Ambr,tf2,4,11.38937878,5.509778091,2.754889045,Solyc01g006130,3.509617154,tf2.Solyc01g006130
63,Ambr,wt,3,7.69934672,6.458882522,3.729037563,Solyc01g006130,2.94473604,wt.Solyc01g006130
64,Aother,tf2,4,18.99691188,9.616458172,4.808229086,Solyc01g006130,4.247693009,tf2.Solyc01g006130
65,Aother,wt,5,21.15437763,10.56583323,4.725184269,Solyc01g006130,4.402884337,wt.Solyc01g006130
66,Bmbr,tf2,3,7.885894989,5.673816928,3.275779731,Solyc01g006130,2.979274499,tf2.Solyc01g006130
67,Bmbr,wt,4,8.483652914,3.738305292,1.869152646,Solyc01g006130,3.084685598,wt.Solyc01g006130
68,Bother,tf2,4,19.3504873,8.662756509,4.331378255,Solyc01g006130,4.274297993,tf2.Solyc01g006130
69,Bother,wt,4,7.795174408,5.287253975,2.643626988,Solyc01g006130,2.962581302,wt.Solyc01g006130
70,Cmbr,tf2,4,14.27759398,14.38856988,7.19428494,Solyc01g006130,3.835680976,tf2.Solyc01g006130
71,Cmbr,wt,6,8.614000556,7.032326245,2.870935168,Solyc01g006130,3.106683417,wt.Solyc01g006130
72,Cother,tf2,4,16.04301456,14.179044,7.089521998,Solyc01g006130,4.003873351,tf2.Solyc01g006130
73,Cother,wt,3,11.75971023,8.800578366,5.081016289,Solyc01g006130,3.555780606,wt.Solyc01g006130
74,Ambr,tf2,4,3.783869023,2.026048465,1.013024232,Solyc01g006330,1.919862151,tf2.Solyc01g006330
75,Ambr,wt,3,3.318147272,1.381524118,0.797623321,Solyc01g006330,1.73037792,wt.Solyc01g006330
76,Aother,tf2,4,7.336744347,2.16570156,1.08285078,Solyc01g006330,2.875140014,tf2.Solyc01g006330
