"","gene","tf2ambr","tf2aother","tf2bmbr","tf2bother","tf2cmbr","tf2cother","wtambr","wtaother","wtbmbr","wtbother","wtcmbr","wtcother","sd","average","cv"
"1","Solyc00g069887",11.8960690818605,8.96650376397189,13.5309464245689,15.0210768060788,3.51261530831037,6.18030683659103,32.2341417122525,14.7136136703807,1.89472638550661,10.5202293560545,5.7862853572027,20.4818462541334,8.30216363142322,12.0615300797427,0.688317616134516
"2","Solyc00g009145",13.9502567868887,62.0783532248971,1859.18664871423,20.7269884267445,65.5650081520272,7.5535926582484,320.80933622136,7.94413895746433,2.95938601601668,115.937000557119,6.11344086353087,1291.3201659163,607.705970719604,314.512026374569,1.93221854733102
"5","Solyc00g183555",100.897469678959,148.059332462951,4197.50501387787,128.835747723296,178.009272816968,36.1996638810706,680.94410511784,63.4709283954394,39.3255986926722,50.9836393656057,35.2412816136668,2555.72412502678,1317.0715761669,684.599681554427,1.92385654222977
"6","Solyc00g212265",133.95307788992,127.744656259639,5756.08952971884,151.561720065278,340.871228105648,63.5638419549001,530.052281109402,67.0021633906449,49.062969540389,72.6072746881698,64.84449845296,2608.25418084832,1709.17951478997,830.467285168676,2.05809373266621
"8","Solyc00g005092",139.605595020198,73.2228480017205,342.158958208706,120.243310322703,247.533419050401,89.2892908029614,161.10715856304,144.654199925144,67.1365506103643,122.568237666064,150.170488432228,392.165025463987,103.670934707519,170.82125683896,0.606897154522482
"9","Solyc00g005098",6.78602095680306,9.83311142263404,777.483462383333,5.69680946523486,2.92212740910587,1.86077161674593,25.993149292146,0.752896613575098,1.06311834074199,1.93641510185683,0.797536694029134,99.0754319978399,222.06424023635,77.8500709411704,2.85246034527263
"10","Solyc00g005445",33.0440568031896,33.6488329597764,918.491065021053,34.4115679997787,47.9115855868971,14.8901655185269,204.483252600077,18.2020858530974,10.9322239971715,20.2525666613234,15.8346472575984,698.783867114376,306.039855035107,170.907159781072,1.79067895942532
"11","Solyc00g006490",372.708698493042,301.11193819703,966.857244524364,295.588736411135,288.498498388526,328.81104140662,420.83156421626,330.70690323265,326.840004755836,312.758471489591,370.016160314858,334.351769880888,186.29463392508,387.4234192759,0.480855375943115
"12","Solyc00g006568",132.42364338849,199.763527210001,4427.71958683828,171.739322548037,168.800114972152,69.3041007238305,939.236192510225,102.755305329259,63.8067955292154,155.07910102645,68.2356137840792,3415.4623928166,1480.92913791597,826.193808056385,1.79247184313792
"13","Solyc00g006655",0.180435306747138,1.28492112896566,40.9816516406335,0.644659103648663,2.54663891535485,0.991325526164165,16.4090891079685,0.156402700015191,0.191980283674084,3.66755961547894,0.460005943808274,45.9794595806565,16.5495017339613,9.45784407109295,1.74981757042742
"14","Solyc00g006687",2.76574397337681,10.9549600212719,359.915420184122,1.96538361999716,14.2153938358981,1.82349555335187,67.585775824901,1.05448964514142,0.95194820556604,24.5506960736338,2.55132964306409,243.062714925891,116.601930793337,60.9497792921846,1.91308208409359
"16","Solyc00g008165",1.40273112140615,5.75339347760462,261.869003916413,1.26470374916993,4.75726084325203,1.15179187995732,80.591211695653,1.18137150501724,0.21133933069944,21.7393225746683,0.908223351011307,108.205895424904,78.2679663763719,40.7530207391464,1.9205439242738
"18","Solyc00g009040",19.4175032915832,22.3836082529194,15.6915139492799,16.4713471172161,20.8660438643152,17.5814256473776,190.51336057733,28.1175751417092,6.1409236956341,31.7381269158948,42.5735812932286,44.3099927571225,49.2984903976174,37.9837502086342,1.29788370360574
"21","Solyc00g009110",14.1023136463662,16.0574554563207,40.0577464671592,20.4060884371187,20.1913180871275,15.1751161267804,47.8555910833141,26.556083636146,9.9129799313706,28.1639768418824,13.4024226393541,28.718228313443,11.4638247003223,23.3832767221986,0.490257410734879
"22","Solyc00g009146",13.0710237052569,21.8187536793956,337.447351996036,23.6780823486015,34.6639409220466,12.8689370768476,142.625129570022,22.7949670599336,9.73051516067163,34.4065532913538,18.4647729801273,294.68366523095,115.978472675518,80.5211410851036,1.44034810128857
"23","Solyc00g009148",6.62240038043768,15.6126543877786,281.890751340884,11.714111162699,28.4428861951038,5.26223064797838,134.112485564182,16.0006169060915,2.06322801306119,26.2900014937346,7.4296795248553,264.923787883284,102.920684531362,66.6970694583409,1.54310654676734
"24","Solyc06g024330",59955.6629287348,85994.4658167592,18496.2609997639,51987.5439871542,43572.4990321274,51677.1518985556,516908.246290835,88338.6329286106,24723.2134098423,68805.0935419536,98535.7021916428,53840.9005765782,134459.461877416,96902.9478002131,1.38756833439819
"26","Solyc00g012640",3.88908525060651,4.0088120314981,15.7309432253718,1.6776185366154,1.73034074859005,1.28860240129012,83.1864996906907,1.82700103542904,0.724181363617263,3.84758963980141,2.32315659765622,30.5740761568565,23.8741135769214,12.5673255565019,1.8996972322858
"27","Solyc00g013181",9.9937161171788,8.04454296849476,113.533748417437,9.94274351973347,10.4291063383516,4.35409230018731,45.1649145412726,5.46646853036959,5.46729211651956,19.5476346623391,9.94236801986924,150.550663794145,48.3296170821542,32.7031076104915,1.47782949736097
"28","Solyc00g013183",2.50495351104348,2.50907465082042,81.2856347005891,1.57988621296266,6.72018004018744,0.877722916271165,25.2518083266164,0.782588394704039,0.40516993937609,12.9324505533151,1.97155602852409,85.0028690958798,31.0467663870821,18.4853245308575,1.67953591159602
"29","Solyc00g013184",1.21428532485262,10.1677975069138,179.615459942001,2.17042081714791,8.14529521811638,1.07410381904805,119.807626741803,0.246748924419181,0.748889851798613,22.2766340191093,2.1118052778211,167.375081196087,69.5506679062133,42.9128457199265,1.62074238469619
"30","Solyc00g013186",4.49709038677178,11.758257435351,323.041371783088,7.81536700361086,10.9829922864156,3.33033922914616,73.2299501055174,3.53921360787361,4.461008602575,54.2593595496227,3.89119609131741,225.482452882368,104.422953953056,60.5240499136381,1.72531339363537
"31","Solyc00g014290",0.581352778323493,4.75050358820364,19.9382110126404,1.12974158779282,2.86682582971279,0.166943093818726,19.9619884500483,0.156402700015191,8.32667268468867e-17,4.68754713753019,8.32667268468867e-17,31.5739020004354,10.5902542058765,7.15111818154342,1.48092283430713
"32","Solyc00g014830",1.42003737696369,1.57589041119366,18.5318798807072,1.25747096270799,1.66750639041742,1.26325301492671,18.6940044292911,0.862123837964587,0.95194820556604,4.1632434581101,0.989530775399583,18.9149843389454,7.8006187018988,5.85765609018278,1.33169625901602
