"ITAG","cluster"
"Solyc00g244290",6
"Solyc00g244300",6
"Solyc00g244305",6
"Solyc00g247300",3
"Solyc00g273110",2
"Solyc00g277510",3
"Solyc00g278110",3
"Solyc00g280110",2
"Solyc00g281110",3
"Solyc00g282510",4
"Solyc00g289230",3
"Solyc00g294237",3
"Solyc00g300730",3
"Solyc00g311230",5
"Solyc00g322635",1
"Solyc01g006440",2
"Solyc01g007960",3
"Solyc01g005140",4
"Solyc01g006340",4
"Solyc01g008780",6
"Solyc01g009715",3
"Solyc01g010960",3
"Solyc01g011475",6
"Solyc01g014075",3
"Solyc01g016435",3
"Solyc01g017775",3
"Solyc01g017873",4
"Solyc01g034067",3
"Solyc01g044305",3
"Solyc01g056695",6
"Solyc01g058190",3
"Solyc01g065915",3
"Solyc01g066957",3
"Solyc01g067360",3
"Solyc01g080725",3
"Solyc01g080810",6
"Solyc01g090230",1
"Solyc01g094010",3
"Solyc01g096190",1
"Solyc01g098490",3
"Solyc01g099030",3
"Solyc01g105970",5
"Solyc01g109490",3
"Solyc01g109830",5
"Solyc01g112300",3
"Solyc01g005220",6
"Solyc01g006460",2
"Solyc01g006490",4
"Solyc01g006540",2
"Solyc01g006560",2
"Solyc01g006610",2
"Solyc01g006960",2
"Solyc01g007140",6
"Solyc01g007895",3
"Solyc01g008240",1
"Solyc01g008420",5
"Solyc01g008570",6
"Solyc01g008660",4
"Solyc01g008670",3
"Solyc01g008730",3
"Solyc01g009030",4
"Solyc01g009120",6
"Solyc01g009340",1
"Solyc01g009480",3
"Solyc01g009530",3
"Solyc01g009730",3
"Solyc01g010501",6
"Solyc01g010510",5
"Solyc01g010720",6
"Solyc01g010933",3
"Solyc01g010950",4
"Solyc01g010970",5
"Solyc01g010980",3
"Solyc01g011090",2
"Solyc01g011330",3
"Solyc01g011460",3
"Solyc01g011510",3
"Solyc01g014107",1
"Solyc01g014355",6
"Solyc01g014520",6
"Solyc01g014855",4
"Solyc01g014975",6
"Solyc01g015085",3
"Solyc01g016723",3
"Solyc01g016727",3
"Solyc01g017823",6
"Solyc01g018025",3
"Solyc01g018044",3
"Solyc01g020120",3
"Solyc01g020230",3
"Solyc01g020240",6
"Solyc01g020285",6
"Solyc01g020376",3
"Solyc01g020401",6
"Solyc01g021640",3
"Solyc01g034155",5
"Solyc01g028987",3
"Solyc01g044273",3
"Solyc01g044360",4
"Solyc01g044376",6
"Solyc01g044543",3
"Solyc01g047597",3
"Solyc01g049895",6
"Solyc01g049925",3
"Solyc01g050070",2
"Solyc01g056205",3
"Solyc01g056345",3
"Solyc01g056520",3
"Solyc01g056790",6
"Solyc01g056850",2
"Solyc01g056875",6
"Solyc01g056915",3
"Solyc01g057045",3
"Solyc01g057270",3
"Solyc01g057285",6
"Solyc01g057340",3
"Solyc01g057440",2
"Solyc01g057465",3
"Solyc01g057477",3
"Solyc01g057777",3
"Solyc01g057850",3
"Solyc01g058030",5
"Solyc01g058720",6
"Solyc01g058730",2
"Solyc01g059830",3
"Solyc01g059857",3
"Solyc01g059860",6
"Solyc01g060140",6
"Solyc01g060185",3
"Solyc01g060318",3
"Solyc01g065624",3
"Solyc01g066055",3
"Solyc01g066100",6
"Solyc01g066205",3
"Solyc01g066287",3
"Solyc01g066440",4
"Solyc01g066525",3
"Solyc01g067020",3
"Solyc01g067125",4
"Solyc01g067210",6
"Solyc01g067273",4
"Solyc01g067460",3
"Solyc01g067510",1
"Solyc01g067530",6
"Solyc01g067650",3
"Solyc01g067660",1
"Solyc01g067710",1
"Solyc01g067755",3
"Solyc01g067800",1
