"ITAG","cluster"
"Solyc00g244290",11
"Solyc00g244300",11
"Solyc00g244305",11
"Solyc00g247300",11
"Solyc00g273110",14
"Solyc00g277510",11
"Solyc00g278110",14
"Solyc00g280110",31
"Solyc00g281110",12
"Solyc00g282510",36
"Solyc00g289230",11
"Solyc00g294237",11
"Solyc00g300730",11
"Solyc00g311230",28
"Solyc00g322635",25
"Solyc01g006440",18
"Solyc01g007960",11
"Solyc01g005140",11
"Solyc01g006340",11
"Solyc01g008780",11
"Solyc01g009715",16
"Solyc01g010960",12
"Solyc01g011475",11
"Solyc01g014075",11
"Solyc01g016435",4
"Solyc01g017775",11
"Solyc01g017873",17
"Solyc01g034067",11
"Solyc01g044305",11
"Solyc01g056695",11
"Solyc01g058190",18
"Solyc01g065915",11
"Solyc01g066957",11
"Solyc01g067360",8
"Solyc01g080725",11
"Solyc01g080810",11
"Solyc01g090230",2
"Solyc01g094010",10
"Solyc01g096190",11
"Solyc01g098490",34
"Solyc01g099030",11
"Solyc01g105970",10
"Solyc01g109490",18
"Solyc01g109830",12
"Solyc01g112300",11
"Solyc01g005220",16
"Solyc01g006460",27
"Solyc01g006490",27
"Solyc01g006540",17
"Solyc01g006560",29
"Solyc01g006610",33
"Solyc01g006960",2
"Solyc01g007140",10
"Solyc01g007895",18
"Solyc01g008240",11
"Solyc01g008420",18
"Solyc01g008570",22
"Solyc01g008660",4
"Solyc01g008670",18
"Solyc01g008730",18
"Solyc01g009030",12
"Solyc01g009120",10
"Solyc01g009340",21
"Solyc01g009480",11
"Solyc01g009530",12
"Solyc01g009730",11
"Solyc01g010501",11
"Solyc01g010510",4
"Solyc01g010720",11
"Solyc01g010933",29
"Solyc01g010950",14
"Solyc01g010970",3
"Solyc01g010980",12
"Solyc01g011090",19
"Solyc01g011330",11
"Solyc01g011460",11
"Solyc01g011510",12
"Solyc01g014107",14
"Solyc01g014355",11
"Solyc01g014520",10
"Solyc01g014855",11
"Solyc01g014975",11
"Solyc01g015085",11
"Solyc01g016723",16
"Solyc01g016727",11
"Solyc01g017823",11
"Solyc01g018025",11
"Solyc01g018044",10
"Solyc01g020120",11
"Solyc01g020230",10
"Solyc01g020240",11
"Solyc01g020285",11
"Solyc01g020376",11
"Solyc01g020401",11
"Solyc01g021640",11
"Solyc01g034155",11
"Solyc01g028987",11
"Solyc01g044273",11
"Solyc01g044360",30
"Solyc01g044376",11
"Solyc01g044543",4
"Solyc01g047597",11
"Solyc01g049895",11
"Solyc01g049925",11
