"ITAG","cluster"
"Solyc00g244290",5
"Solyc00g244300",5
"Solyc00g244305",5
"Solyc00g247300",5
"Solyc00g273110",1
"Solyc00g277510",5
"Solyc00g278110",2
"Solyc00g280110",1
"Solyc00g281110",5
"Solyc00g282510",3
"Solyc00g289230",5
"Solyc00g294237",5
"Solyc00g300730",5
"Solyc00g311230",6
"Solyc00g322635",1
"Solyc01g006440",5
"Solyc01g007960",5
"Solyc01g005140",5
"Solyc01g006340",5
"Solyc01g008780",5
"Solyc01g009715",5
"Solyc01g010960",5
"Solyc01g011475",5
"Solyc01g014075",5
"Solyc01g016435",5
"Solyc01g017775",5
"Solyc01g017873",5
"Solyc01g034067",5
"Solyc01g044305",5
"Solyc01g056695",5
"Solyc01g058190",5
"Solyc01g065915",5
"Solyc01g066957",5
"Solyc01g067360",2
"Solyc01g080725",5
"Solyc01g080810",5
"Solyc01g090230",2
"Solyc01g094010",5
"Solyc01g096190",5
"Solyc01g098490",6
"Solyc01g099030",5
"Solyc01g105970",5
"Solyc01g109490",5
"Solyc01g109830",5
"Solyc01g112300",5
"Solyc01g005220",5
"Solyc01g006460",6
"Solyc01g006490",6
"Solyc01g006540",5
"Solyc01g006560",6
"Solyc01g006610",6
"Solyc01g006960",2
"Solyc01g007140",5
"Solyc01g007895",5
"Solyc01g008240",5
"Solyc01g008420",5
"Solyc01g008570",5
"Solyc01g008660",5
"Solyc01g008670",5
"Solyc01g008730",5
"Solyc01g009030",5
"Solyc01g009120",5
"Solyc01g009340",1
"Solyc01g009480",5
"Solyc01g009530",5
"Solyc01g009730",5
"Solyc01g010501",5
"Solyc01g010510",5
"Solyc01g010720",5
"Solyc01g010933",6
"Solyc01g010950",3
"Solyc01g010970",2
"Solyc01g010980",5
"Solyc01g011090",1
"Solyc01g011330",5
"Solyc01g011460",5
"Solyc01g011510",5
"Solyc01g014107",3
"Solyc01g014355",5
"Solyc01g014520",5
"Solyc01g014855",5
"Solyc01g014975",5
"Solyc01g015085",5
"Solyc01g016723",5
"Solyc01g016727",5
"Solyc01g017823",5
"Solyc01g018025",5
"Solyc01g018044",5
"Solyc01g020120",5
"Solyc01g020230",5
"Solyc01g020240",5
"Solyc01g020285",5
"Solyc01g020376",5
"Solyc01g020401",5
"Solyc01g021640",5
"Solyc01g034155",5
"Solyc01g028987",5
"Solyc01g044273",5
"Solyc01g044360",3
"Solyc01g044376",5
"Solyc01g044543",5
"Solyc01g047597",5
"Solyc01g049895",5
"Solyc01g049925",5
"Solyc01g050070",5
"Solyc01g056205",5
"Solyc01g056345",5
"Solyc01g056520",5
"Solyc01g056790",5
"Solyc01g056850",1
"Solyc01g056875",5
"Solyc01g056915",5
"Solyc01g057045",5
"Solyc01g057270",5
"Solyc01g057285",5
"Solyc01g057340",5
"Solyc01g057440",2
"Solyc01g057465",5
"Solyc01g057477",5
"Solyc01g057777",5
"Solyc01g057850",5
"Solyc01g058030",2
"Solyc01g058720",5
"Solyc01g058730",1
"Solyc01g059830",1
"Solyc01g059857",5
"Solyc01g059860",2
"Solyc01g060140",5
"Solyc01g060185",5
"Solyc01g060318",5
"Solyc01g065624",5
"Solyc01g066055",5
"Solyc01g066100",5
"Solyc01g066205",5
"Solyc01g066287",5
"Solyc01g066440",3
"Solyc01g066525",5
"Solyc01g067020",5
"Solyc01g067125",5
"Solyc01g067210",5
"Solyc01g067273",5
"Solyc01g067460",5
"Solyc01g067510",1
"Solyc01g067530",5
"Solyc01g067650",5
"Solyc01g067660",1
"Solyc01g067710",1
"Solyc01g067755",5
"Solyc01g067800",5
"Solyc01g067860",5
"Solyc01g068170",5
"Solyc01g068190",6
"Solyc01g068410",1
"Solyc01g068420",5
"Solyc01g068460",1
"Solyc01g068500",2
"Solyc01g079060",5
"Solyc01g079450",5
"Solyc01g079850",5
"Solyc01g079890",5
"Solyc01g080260",1
"Solyc01g080580",1
"Solyc01g080780",4
"Solyc01g080860",5
"Solyc01g080990",5
"Solyc01g081080",5
"Solyc01g081110",5
"Solyc01g081290",5
"Solyc01g073660",5
"Solyc01g074040",1
"Solyc01g086710",5
"Solyc01g086745",2
"Solyc01g086830",5
"Solyc01g086840",5
"Solyc01g087320",2
"Solyc01g087385",5
"Solyc01g087910",5
"Solyc01g087970",5
"Solyc01g088280",5
"Solyc01g088630",5
"Solyc01g089930",5
"Solyc01g090040",5
"Solyc01g090170",2
"Solyc01g090200",5
"Solyc01g090550",4
"Solyc01g090640",5
"Solyc01g090645",5
"Solyc01g090730",5
"Solyc01g090780",5
"Solyc01g091010",6
"Solyc01g091040",1
"Solyc01g091540",3
"Solyc01g091900",2
"Solyc01g091920",5
"Solyc01g094030",2
"Solyc01g094140",5
"Solyc01g094220",4
"Solyc01g094237",5
"Solyc01g094410",2
"Solyc01g095300",5
"Solyc01g095810",5
"Solyc01g095870",5
"Solyc01g096050",5
"Solyc01g096140",5
"Solyc01g096170",5
"Solyc01g096205",5
"Solyc01g096230",5
"Solyc01g096370",5
"Solyc01g096380",5
"Solyc01g096490",5
"Solyc01g096525",5
"Solyc01g096540",5
"Solyc01g096740",5
"Solyc01g096950",2
"Solyc01g096960",2
"Solyc01g097190",5
"Solyc01g097430",5
"Solyc01g097640",5
"Solyc01g097720",5
"Solyc01g098110",5
"Solyc01g098240",2
"Solyc01g100600",5
"Solyc01g100750",6
"Solyc01g102990",2
"Solyc01g103650",5
"Solyc01g104030",1
"Solyc01g104070",5
"Solyc01g104435",6
"Solyc01g104436",5
"Solyc01g104945",5
"Solyc01g105190",2
"Solyc01g105220",2
"Solyc01g105520",5
"Solyc01g105650",5
"Solyc01g105700",1
"Solyc01g105890",5
"Solyc01g106160",5
"Solyc01g106200",5
"Solyc01g106253",5
"Solyc01g106330",5
"Solyc01g106630",5
"Solyc01g106947",5
"Solyc01g107000",5
"Solyc01g107340",6
"Solyc01g107810",5
"Solyc01g108610",5
"Solyc01g108780",5
"Solyc01g108930",5
"Solyc01g108975",3
"Solyc01g109210",5
"Solyc01g109200",5
"Solyc01g109460",1
"Solyc01g109570",2
"Solyc01g109600",5
"Solyc01g109860",5
"Solyc01g109960",5
"Solyc01g109970",5
"Solyc01g111145",6
"Solyc01g111610",2
"Solyc01g111840",5
"Solyc01g112270",5
"Solyc01g005000",1
"Solyc01g005010",1
"Solyc01g005060",1
"Solyc01g005080",5
"Solyc01g005100",1
"Solyc01g005120",1
"Solyc01g005240",2
"Solyc01g005280",2
"Solyc01g005400",6
"Solyc01g005570",5
"Solyc01g005790",5
"Solyc01g005850",5
"Solyc01g005860",5
"Solyc01g005880",5
"Solyc01g005970",2
"Solyc01g006080",5
"Solyc01g006150",3
"Solyc01g006200",5
"Solyc01g006390",6
"Solyc01g006400",6
"Solyc01g006410",6
"Solyc01g006420",6
"Solyc01g006530",6
"Solyc01g006545",6
"Solyc01g006565",5
"Solyc01g006570",6
"Solyc01g006575",6
"Solyc01g006580",6
"Solyc01g006590",6
"Solyc01g006600",6
"Solyc01g006620",6
"Solyc01g006640",2
"Solyc01g006720",1
"Solyc01g006730",1
"Solyc01g006830",1
"Solyc01g006840",1
"Solyc01g007080",5
"Solyc01g007130",1
"Solyc01g007260",1
"Solyc01g007760",5
"Solyc01g007870",3
"Solyc01g007920",2
"Solyc01g008350",5
"Solyc01g008497",5
"Solyc01g008500",5
"Solyc01g008510",5
"Solyc01g008530",5
"Solyc01g008540",5
"Solyc01g008580",5
"Solyc01g008590",5
"Solyc01g008610",5
"Solyc01g008620",5
"Solyc01g008640",5
"Solyc01g008650",5
"Solyc01g008710",5
"Solyc01g008720",5
"Solyc01g008740",5
"Solyc01g008790",5
"Solyc01g008830",5
"Solyc01g008870",5
"Solyc01g008973",5
"Solyc01g009210",5
"Solyc01g009245",4
"Solyc01g009307",5
"Solyc01g009370",5
"Solyc01g009390",6
"Solyc01g009500",5
"Solyc01g009860",1
"Solyc01g009900",6
"Solyc01g009970",5
"Solyc01g010035",5
"Solyc01g010055",1
"Solyc01g010080",5
"Solyc01g010130",5
"Solyc01g010135",5
"Solyc01g010150",5
"Solyc01g010180",2
"Solyc01g010200",1
"Solyc01g010240",5
"Solyc01g010250",1
"Solyc01g010270",1
"Solyc01g010295",5
"Solyc01g010310",3
"Solyc01g010390",4
"Solyc01g010460",5
"Solyc01g010502",5
"Solyc01g010506",5
"Solyc01g010508",2
"Solyc01g010530",5
